CustomerID,Recency,Frequency,Monetary,Cluster
12346.0,325,2,0.0,1
12347.0,1,182,4310.0,0
12348.0,74,31,1797.24,0
12349.0,18,73,1757.55,0
12350.0,309,17,334.4,1
12352.0,35,95,1545.41,0
12353.0,203,4,89.0,1
12354.0,231,58,1079.4,1
12355.0,213,13,459.4,1
12356.0,22,59,2811.43,0
12357.0,32,131,6207.67,0
12358.0,1,19,1168.06,0
12359.0,7,251,6182.9800000000005,0
12360.0,51,129,2662.06,0
12361.0,286,10,189.9,1
12362.0,2,274,5154.58,0
12363.0,109,23,552.0,0
12364.0,7,85,1313.1,0
12365.0,290,23,320.69,1
12367.0,3,11,168.9,0
12370.0,50,166,3541.94,0
12371.0,44,63,1887.96,0
12372.0,71,52,1298.04,0
12373.0,310,14,364.6,1
12374.0,24,33,742.9300000000001,0
12375.0,2,18,455.42,0
12377.0,314,77,1628.12,1
12378.0,129,219,4008.62,0
12379.0,81,41,850.29,0
12380.0,21,105,2720.56,0
12381.0,4,91,1803.96,0
12383.0,184,100,1839.31,1
12384.0,28,30,566.16,0
12386.0,337,10,401.9,1
12388.0,15,100,2780.66,0
12390.0,79,32,549.84,0
12391.0,21,93,439.66,0
12393.0,71,64,1582.6,0
12394.0,63,27,1272.48,0
12395.0,15,159,2998.28,0
12397.0,35,126,2409.9,0
12398.0,45,85,1635.66,0
12399.0,118,59,1108.65,0
12401.0,302,5,84.3,1
12402.0,322,11,225.6,1
12403.0,49,6,409.7,0
12405.0,148,54,1710.39,1
12406.0,21,108,3280.75,0
12407.0,49,77,1708.12,0
12408.0,32,113,2842.57,0
12409.0,78,114,11056.93,0
12410.0,300,28,681.0799999999999,1
12412.0,74,61,1226.88,0
12413.0,66,40,694.15,0
12414.0,216,18,562.41,1
12415.0,23,778,123725.45,2
12417.0,2,198,3578.8,0
12418.0,112,34,668.58,0
12420.0,63,29,600.39,0
12421.0,15,46,806.27,0
12422.0,95,39,803.5600000000001,0
12423.0,0,126,1849.11,0
12424.0,162,30,1760.96,1
12425.0,77,36,777.2,0
12426.0,194,30,582.73,1
12427.0,11,35,708.37,0
12428.0,25,300,7877.2,0
12429.0,8,97,3750.4,0
12430.0,42,11,256.4,0
12431.0,35,239,6348.89,0
12432.0,42,108,5059.32,0
12433.0,0,420,13375.87,0
12434.0,84,54,765.19,0
12435.0,79,36,7829.89,0
12436.0,99,16,509.01,0
12437.0,1,201,4896.66,0
12438.0,13,98,2906.85,0
12441.0,366,11,173.55,1
12442.0,2,12,172.06,0
12444.0,20,177,5005.46,0
12445.0,21,4,133.4,0
12446.0,57,58,1002.31,0
12447.0,242,26,476.49,1
12448.0,43,22,449.45,0
12449.0,21,191,4067.29,0
12450.0,155,8,197.88,1
12451.0,10,355,8933.52,0
12452.0,16,23,428.57,0
12453.0,133,43,707.09,0
12454.0,52,30,5.684341886080803e-14,0
12455.0,72,90,2466.86,0
12456.0,43,129,3153.89,0
12457.0,57,68,1917.78,0
12458.0,70,38,947.4,0
12461.0,93,35,826.88,0
12462.0,1,72,1124.01,0
12463.0,45,88,1303.63,0
12464.0,9,29,1212.05,0
12465.0,7,51,733.89,0
12468.0,142,40,724.0400000000001,1
12471.0,1,530,18705.52,0
12472.0,30,391,6229.48,0
12473.0,28,178,2837.73,0
12474.0,16,455,7064.77,0
12475.0,53,36,723.38,0
12476.0,0,264,6546.58,0
12477.0,22,308,13117.01,0
12478.0,3,36,680.99,0
12479.0,3,35,477.3,0
12480.0,27,154,3281.63,0
12481.0,22,217,5574.36,0
12483.0,16,81,2327.13,0
12484.0,32,347,4480.87,0
12488.0,9,55,1298.66,0
12489.0,335,15,334.93,1
12490.0,4,245,5417.93,0
12491.0,38,26,460.4,0
12492.0,62,20,263.21000000000004,0
12493.0,165,23,416.79,1
12494.0,9,84,1139.35,0
12497.0,81,14,1043.1,0
12498.0,20,23,403.7000000000001,0
12500.0,22,65,4206.27,0
12501.0,314,160,2089.68,1
12502.0,95,147,3723.87,0
12503.0,337,1,-1126.0,1
12504.0,17,15,114.0,0
12505.0,300,1,-4.5,1
12506.0,232,23,73.5,1
12507.0,133,23,1258.06,0
12508.0,25,68,397.88,0
12509.0,283,7,176.5,1
12510.0,142,33,982.57,1
12512.0,65,31,132.18,0
12513.0,84,36,586.79,0
12514.0,266,51,1017.68,1
12515.0,352,16,383.7,1
12516.0,77,26,1312.06,0
12517.0,27,281,2443.65,0
12518.0,0,124,2056.89,0
12519.0,63,17,330.84,0
12520.0,78,155,2582.51,0
12521.0,142,38,599.68,1
12522.0,38,12,192.72,0
12523.0,1,110,1745.57,0
12524.0,8,144,4485.72,0
12526.0,0,71,1316.66,0
12527.0,81,18,348.71000000000004,0
12528.0,8,95,1922.28,0
12530.0,59,68,1623.63,0
12531.0,14,17,125.22,0
12532.0,29,16,349.83000000000004,0
12534.0,130,63,1089.18,0
12535.0,91,34,716.35,0
12536.0,7,273,4106.82,0
12538.0,28,21,363.95,0
12539.0,21,274,3852.5,0
12540.0,19,481,13309.04,0
12541.0,29,52,981.18,0
12544.0,29,20,355.7,0
12545.0,74,50,1000.39,0
12546.0,46,70,1141.5,0
12547.0,197,8,207.8,1
12548.0,165,5,95.2,1
12550.0,78,57,964.83,0
12551.0,357,10,168.0,1
12552.0,38,20,437.82,0
12553.0,7,196,3652.25,0
12556.0,49,119,599.56,0
12557.0,15,33,11990.96,0
12558.0,1,22,1.0658141036401504e-14,0
12559.0,310,22,536.21,1
12560.0,4,111,2101.39,0
12561.0,302,16,238.85,1
12562.0,7,168,3781.74,0
12564.0,260,21,456.9,1
12565.0,281,10,131.17,1
12566.0,72,20,346.7,0
12567.0,22,463,9114.94,0
12569.0,1,191,4064.99,0
12571.0,39,34,519.61,0
12572.0,8,62,1004.72,0
12573.0,226,28,160.54000000000002,1
12574.0,315,11,218.45,1
12576.0,35,89,1306.98,0
12577.0,34,147,564.2,0
12578.0,20,120,2753.36,0
12579.0,72,31,410.72,0
12580.0,246,24,415.7,1
12581.0,39,15,197.71,0
12582.0,238,22,511.36,1
12583.0,2,251,7187.34,0
12584.0,3,126,1893.95,0
12585.0,233,97,1982.81,1
12586.0,16,12,179.94000000000003,0
12587.0,7,4,144.0,0
12588.0,38,10,214.9,0
12589.0,28,35,646.68,0
12590.0,189,70,9861.38,1
12591.0,316,26,452.85,1
12592.0,91,18,437.6,0
12593.0,108,21,418.1,0
12594.0,37,119,3320.2200000000003,0
12596.0,50,27,618.27,0
12597.0,18,214,3683.13,0
12598.0,9,133,3002.68,0
12599.0,28,62,1032.58,0
12600.0,28,65,2581.04,0
12601.0,189,29,569.5600000000001,1
12602.0,58,12,153.12,0
12603.0,21,3,739.1999999999999,0
12604.0,78,16,254.18,0
12605.0,364,3,-7.5,1
12607.0,57,202,3.552713678800501e-15,0
12609.0,77,60,1126.85,0
12610.0,22,111,2057.99,0
12611.0,51,65,1193.32,0
12612.0,57,21,643.59,0
12613.0,30,163,3218.98,0
12614.0,277,20,315.6,1
12615.0,1,105,2291.19,0
12616.0,84,36,657.25,0
12617.0,28,41,352.98,0
12618.0,21,11,177.31,0
12619.0,15,95,3214.81,0
12620.0,14,92,1339.41,0
12621.0,1,474,13612.07,0
12622.0,231,11,180.1,1
12623.0,275,18,305.1,1
12624.0,105,38,641.13,0
12625.0,211,91,2614.32,1
12626.0,22,307,6388.35,0
12627.0,10,230,4478.53,0
12628.0,3,43,769.61,0
12630.0,9,64,1270.88,0
12631.0,56,31,640.5,0
12633.0,58,103,2140.63,0
12635.0,89,101,1689.18,0
12637.0,66,386,5934.25,0
12638.0,32,39,671.69,0
12639.0,238,22,486.1,1
12640.0,23,53,1174.58,0
12641.0,114,10,185.9,0
12642.0,24,47,1013.26,0
12643.0,127,24,3344.64,0
12644.0,129,31,477.91,0
12645.0,33,74,1755.38,0
12646.0,4,45,1346.97,0
12647.0,21,128,3669.92,0
12648.0,154,21,318.05,1
12649.0,106,33,603.71,0
12650.0,2,20,314.44,0
12651.0,334,9,114.0,1
12652.0,321,51,914.53,1
12653.0,148,43,2209.85,1
12654.0,10,38,601.98,0
12656.0,16,130,3982.72,0
12657.0,10,56,1152.06,0
12658.0,18,36,686.05,0
12659.0,29,5,91.68,0
12660.0,10,13,245.1,0
12662.0,0,232,3817.08,0
12664.0,7,38,4863.88,0
12665.0,324,4,61.75,1
12666.0,358,2,-227.44,1
12667.0,57,33,620.13,0
12668.0,6,168,3743.18,0
12669.0,150,102,1607.73,1
12670.0,9,94,2986.15,0
12672.0,329,10,225.9,1
12673.0,4,42,610.52,0
12674.0,11,90,1922.26,0
12676.0,24,45,1331.39,0
12678.0,41,167,17588.26,0
12679.0,51,56,1058.67,0
12680.0,0,52,862.81,0
12681.0,14,646,13677.59,0
12682.0,3,524,12279.82,0
12683.0,3,362,8221.09,0
12684.0,7,105,2283.63,0
12685.0,27,157,2863.08,0
12686.0,371,7,89.14,1
12688.0,113,171,4873.81,0
12689.0,25,72,1247.61,0
12690.0,205,16,389.01,1
12691.0,27,32,1035.8,0
12693.0,120,41,830.96,0
12694.0,69,37,869.67,0
12695.0,6,27,582.1,0
12697.0,20,43,939.02,0
12700.0,7,270,4867.99,0
12701.0,79,53,797.71,0
12702.0,19,12,219.0,0
12703.0,63,22,274.7,0
12704.0,6,90,2220.84,0
12705.0,14,348,6814.24,0
12707.0,291,33,603.42,1
12708.0,29,174,2616.32,0
12709.0,2,256,9264.1,0
