ds,yhat,yhat_lower,yhat_upper
2010-12-01,30093.456924789843,15408.018908304539,45114.20398161078
2010-12-02,37106.33837995154,21838.172441065068,51675.104781739785
2010-12-03,27584.44047936188,12220.125418381256,42448.886880299855
2010-12-05,13216.662418611588,-1481.2987671618137,29051.347438441728
2010-12-06,30552.20025092567,15081.145465723557,46898.7646864167
2010-12-07,34872.46732198061,18912.019814978983,50724.63014941845
2010-12-08,29702.20504608418,15063.643600204907,46778.370122886365
2010-12-09,36715.08650135332,19912.88347357138,50994.71652675425
2010-12-10,27193.188600747737,11307.542110943272,42101.024720923364
2010-12-12,12825.410539978096,-2557.4342204115937,27333.95571536851
2010-12-13,30160.948372282695,14539.178607966984,45571.43221407002
2010-12-14,34481.21544653048,19196.446935085234,50323.53067215348
2010-12-15,29310.95317395291,13697.641492776713,44835.06431533817
2010-12-16,36323.83463240441,19851.901115958128,52278.96711743548
2010-12-17,26801.93673502459,11352.849562876283,41861.21950472544
2010-12-19,12434.158680706307,-4266.690859316354,26694.93521880119
2010-12-20,29769.69651617931,13672.119105541511,45729.63607932972
2010-12-21,34089.96359051702,18777.020888811454,49695.61164061406
2010-12-22,28919.701317833078,13610.087901677414,44329.27890390885
2010-12-23,35932.58277626064,19855.174801612608,51187.21168498575
2011-01-04,33307.46001859878,19062.950711482907,49059.90023149811
2011-01-05,28137.197757765174,11535.353239426326,42968.35640981811
2011-01-06,35150.079227802096,18304.315955631377,50358.23122560932
2011-01-07,25628.18134207785,9322.593014563403,42287.33904142719
2011-01-09,11260.403311147333,-3786.902824429736,27067.977408322367
2011-01-10,28595.941158326037,14067.435815436898,44516.65789603019
2011-01-11,32916.20824437538,17412.43560432967,48744.524704233074
2011-01-12,27745.945983428464,12093.333992771313,44308.36798716079
2011-01-13,34758.82745357282,19555.983462697084,50278.28820838113
2011-01-14,25236.929567845164,8621.221054693287,41839.288727977604
2011-01-16,10869.153629685992,-4872.783464892409,26041.19349351775
2011-01-17,28204.692523367576,12682.923018479842,43781.97311986522
2011-01-18,32524.9606557894,16154.628212909274,48893.24485878025
2011-01-19,27354.699441295936,12206.344336423996,42577.437997813526
2011-01-20,34367.581957739036,18916.412828331777,49369.906212507485
2011-01-21,24845.685118465433,9138.259070497437,40654.2969156658
2011-01-23,10477.90918034998,-4543.644168065161,26917.443528069016
2011-01-24,27813.448073871503,13114.800449323639,42972.12765914329
2011-01-25,32133.71620634683,16130.5471938393,47472.90301079965
2011-01-26,26963.454991895447,11731.567007698339,43453.14107407956
2011-01-27,33981.21611982439,18013.36988666255,48865.94097088775
2011-01-28,24464.197892115837,9217.610870982202,40261.59869334885
2011-01-30,10106.179176960686,-5497.476147589892,26411.463032082986
2011-01-31,27446.59668206268,11458.833539084755,44259.66729340609
2011-02-01,31771.743426003573,17183.73889977671,47554.914535441465
2011-02-02,26606.360823012066,10943.543514466708,41855.589946765554
2011-02-03,33624.12195107689,18013.03106575376,50006.583164920885
2011-02-04,24107.103723215252,9858.58693475691,40522.007087087055
2011-02-06,9749.085008102506,-5302.669496669677,25474.601816977392
2011-02-07,27089.50251319575,11951.071289058998,42756.958260116895
2011-02-08,31428.938244854922,16300.040531107372,46364.09301050431
2011-02-09,26277.844629661467,9844.101310207776,43192.558322995115
2011-02-10,33309.89474552202,16784.80773603222,49050.1901807123
2011-02-11,23807.16550544343,9202.99445290962,39091.552760383
2011-02-13,9477.72476584266,-6934.658845869103,26363.73449678994
2011-02-14,26832.43125869354,10747.844373417498,41548.20702775854
2011-02-15,31171.86699044264,15934.631994496167,45599.9387581434
2011-02-16,26020.773375229477,11416.022320426175,41492.464371664275
2011-02-17,33052.82349098676,17676.936268092824,48080.129004330796
